"Quote";"Author"
"Good judgment comes from experience, and a lot of that comes from bad judgment.";"Will Rogers"
"Ever tried. Ever failed. No matter. Try Again. Fail again. Fail better.";"Samuel Beckett"
"Not all those who wander are lost.";"J. R. R. Tolkien"
"I have not failed. I've just found 10,000 ways that won't work.";"Thomas A. Edison"
"Very little is needed to make a happy life; it is all within yourself, in your way of thinking.";"Marcus Aurelius"
"If opportunity doesn't knock, build a door.";"Milton Berle"
"The secret of getting ahead is getting started.";"Mark Twain"
"Always remember that you are absolutely unique. Just like everyone else.";"Margaret Mead"
"The beginning is the most important part of the work.";"Plato"
"Happiness can exist only in acceptance.";"George Orwell"
"The only true wisdom is in knowing you know nothing.";"Socrates"
"Today you are you! That is truer than true! There is no one alive who is you-er than you!";"Dr. Seuss"
"In three words I can sum up everything I've learned about life: it goes on.";"Robert Frost"
"Love is composed of a single soul inhabiting two bodies.";"Aristotle"
"Two things are infinite: the universe and human stupidity, and I'm not sure about the universe.";"Albert Einstein"
"Without music, life would be a mistake.";"Friedrich Nietzsche"
"Go to heaven for the climate and hell for the company.";"Benjamin Franklin Wade"
"Have you ever noticed how 'What the hell' is always the right decision to make?";"Terry Johnson"
"May you live every day of your life.";"Jonathan Swift"
"There is nothing either good or bad, but thinking makes it so.";"William Shakespeare"
"It is hard enough to remember my opinions, without also remembering my reasons for them!";"Friedrich Nietzsche"
"Never let your sense of morals prevent you from doing what is right.";"Isaac Asimov"
"Without deviation from the norm, progress is not possible.";"Frank Zappa"
"Do not fear to be eccentric in opinion, for every opinion now accepted was once eccentric.";"Bertrand Russell"
"Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!";"Dr. Seuss"
"We are all atheists about most of the gods that humanity has ever believed in. Some of us just go one god further.";"Richard Dawkins"
"If you ever find yourself in the wrong story, leave.";"Mo Willems"
"Time is an illusion. Lunchtime doubly so.";"Douglas Adams"
"The reasonable man adapts himself to the world: the unreasonable one persists in trying to adapt the world to himself. Therefore all progress depends on the unreasonable man.";"George Bernard Shaw"
"I cannot teach anybody anything. I can only make them think.";"Socrates"
"A truth that's told with bad intent beats all the lies you can invent.";"William Blake"
"Let's think the unthinkable, let's do the undoable. Let us prepare to grapple with the ineffable itself, and see if we may not eff it after all.";"Douglas Adams"
"The price good men pay for indifference to public affairs is to be ruled by evil men.";"Plato"
"Science is not only compatible with spirituality, it is a profound source of spirituality.";"Carl Sagan"
"Tiger got to hunt, bird got to fly; Man got to sit and wonder 'why, why, why?' Tiger got to sleep, bird got to land; Man got to tell himself he understand.";"Kurt Vonnegut"
"A paranoid is someone who knows a little of what's going on.";"William S. Burroughs"
"Grown-ups never understand anything by themselves, and it is tiresome for children to be always and forever explaining things to them";"Antoine de Saint-Exupéry"
"Do not train a child to learn by force or harshness; but direct them to it by what amuses their minds, so that you may be better able to discover with accuracy the peculiar bent of the genius of each.";"Plato"
"A concept is a brick. It can be used to build a courthouse of reason. Or it can be thrown through the window.";"Gilles Deleuze"
"Life is really simple, but we insist on making it complicated.";"Confucius"
"Morality is simply the attitude we adopt towards people we personally dislike.";"Oscar Wilde"
"The easy confidence with which I know another man's religion is folly teaches me to suspect that my own is also.";"Mark Twain"
"Well, I must endure the presence of a few caterpillars if I wish to become acquainted with the butterflies.";"Antoine de Saint-Exupéry"
"I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.";"Marilyn Monroe"
"If you tell the truth, you don't have to remember anything.";"Mark Twain"
"The reason I talk to myself is because I'm the only one whose answers I accept.";"George Carlin"
"The truth is rarely pure and never simple.";"Oscar Wilde"
"A lie can travel half way around the world while the truth is putting on its shoes.";"Mark Twain"
"Perhaps one did not want to be loved so much as to be understood.";"George Orwell"
"Never tell the truth to people who are not worthy of it.";"Mark Twain"
"The truth will set you free, but first it will piss you off.";"Joe Klaas"
"Above all, don't lie to yourself. The man who lies to himself and listens to his own lie comes to a point that he cannot distinguish the truth within him, or around him, and so loses all respect for himself and for others. And having no respect he ceases to love.";"Fyodor Dostoevsky"
"Facts do not cease to exist because they are ignored.";"Aldous Huxley"
"I believe in everything until it's disproved. So I believe in fairies, the myths, dragons. It all exists, even if it's in your mind. Who's to say that dreams and nightmares aren't as real as the here and now?";"John Lennon"
"A thing is not necessarily true because a man dies for it.";"Oscar Wilde"
"Here's all you have to know about men and women: women are crazy, men are stupid. And the main reason women are crazy is that men are stupid.";"George Carlin"
"Books are mirrors: you only see in them what you already have inside you.";"Carlos Ruiz Zafón"
"The unexamined life is not worth living.";"Socrates"
"Man is least himself when he talks in his own person. Give him a mask, and he will tell you the truth.";"Oscar Wilde"
"Men occasionally stumble over the truth, but most of them pick themselves up and hurry off as if nothing had happened.";"Winston S. Churchill"
"I lie to myself all the time. But I never believe me.";"S.E. Hinton"
"Truth is stranger than fiction, but it is because Fiction is obliged to stick to possibilities; Truth isn't.";"Mark Twain"
"Rather than love, than money, than fame, give me truth.";"Henry David Thoreau"
"The best way to find out if you can trust somebody is to trust them.";"Ernest Hemingway"
"The more I see, the less I know for sure.";"John Lennon"
"Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth.";"Marcus Aurelius"
"There are three types of lies -- lies, damn lies, and statistics.";"Benjamin Disraeli"
"If you want to tell people the truth, make them laugh, otherwise they'll kill you.";"George Bernard Shaw"
